Año,Total_Gastado,Monto_Promedio,Total_Contratos
1900.0,68936.4,68936.4,1
2001.0,326209.5,163104.75,2
2002.0,81000.0,40500.0,2
2009.0,18946553.63,9473276.815,2
2010.0,11461514841.343,2344827.095201105,4888
2011.0,244778204755.0396,1930427.4822952652,126801
2012.0,356924219029.5141,2130878.1382171693,167502
2013.0,383446188552.8192,2145117.500421359,178755
2014.0,533850610313.1763,2739563.960615067,194870
2015.0,443936186100.10077,2013589.9945575397,220475
2016.0,451081946436.9562,1947130.3236870316,231674
2017.0,570493995043.8198,2455142.0599474963,232375
2018.0,446897826472.19135,2272646.8733647508,196644
2019.0,412068033937.6851,2136805.7639514273,192850
2020.0,509100794214.4281,3154104.1343074306,161420
2021.0,515700418880.9269,2543603.8495882833,202767
2022.0,572181024834.1494,2900364.5843407023,197306
2023.0,294244460506.22424,17444978.98299782,16868
2024.0,23391316457.65001,12768185.839328608,1832
